,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent,Total_Spent_Per_District,Percent_Spent,STATEFP20
0,AL,1,Jerry Carl,R,False,1,64.9,1971321.0,1859349.0,1938322.0,95.92570274701521,01
1,AL,1,James Averhart,D,False,0,35.0,80095.0,78973.0,1938322.0,4.074297252984798,01
2,AL,2,Barry Moore,R,False,1,65.3,650807.0,669368.0,725356.0,92.28130738561478,01
3,AL,2,Phyllis Harvey-Hall,D,False,0,34.6,56050.0,55988.0,725356.0,7.718692614385213,01
4,AL,3,Mike D Rogers,R,True,1,67.5,1193111.0,1218564.0,1259535.0,96.7471328704641,01
5,AL,3,Adia Winfrey,D,False,0,32.4,50273.0,40971.0,1259535.0,3.2528671295359004,01
6,AL,4,Robert B Aderholt,R,True,1,82.5,1255076.0,1323812.0,1323812.0,100.0,01
7,AL,5,Mo Brooks,R,True,1,95.8,655365.0,210045.0,210045.0,100.0,01
8,AL,6,Gary Palmer,R,True,1,97.1,907219.0,909082.0,909082.0,100.0,01
9,AL,7,Terri Sewell,D,True,1,97.2,2168165.0,1495957.0,1495957.0,100.0,01
10,AK,1,Don Young,R,True,1,54.4,1922901.0,1790448.0,6878551.0,26.029435559902076,02
11,AK,1,Alyse Galvin,I,False,0,45.3,5178452.0,5088103.0,6878551.0,73.97056444009792,02
12,AZ,1,Tom O'Halleran,D,True,1,51.6,3381353.0,3324138.0,4939842.0,67.29239518187019,04
13,AZ,1,Tiffany Shedd,R,False,0,48.4,1675618.0,1615704.0,4939842.0,32.70760481812981,04
14,AZ,2,Ann Kirkpatrick,D,True,1,55.1,1849862.0,1384765.0,1765832.0,78.4199742670877,04
15,AZ,2,Brandon Martin,R,False,0,44.9,374821.0,381067.0,1765832.0,21.580025732912304,04
16,AZ,3,Raul M Grijalva,D,True,1,64.6,843560.0,655507.0,697469.0,93.9836752601191,04
17,AZ,3,Daniel Wood,R,False,0,35.4,41422.0,41962.0,697469.0,6.016324739880912,04
18,AZ,4,Paul Gosar,R,True,1,69.8,622151.0,729892.0,809650.0,90.14907676156363,04
19,AZ,4,Delina DiSanto,D,False,0,30.2,77168.0,79758.0,809650.0,9.850923238436362,04
20,AZ,5,Andy Biggs,R,True,1,58.9,1602181.0,1236380.0,1446169.0,85.49346583974625,04
21,AZ,5,Joan Greene,D,False,0,41.1,356069.0,209789.0,1446169.0,14.506534160253745,04
22,AZ,6,David Schweikert,R,True,1,52.2,2265329.0,2249979.0,8616681.0,26.111898537267425,04
23,AZ,6,Hiral Tipirneni,D,False,0,47.8,6301073.0,6366702.0,8616681.0,73.88810146273258,04
24,AZ,7,Ruben Gallego,D,True,1,76.7,1811754.0,1653961.0,1671844.0,98.93034278317833,04
25,AZ,7,Josh Barnett,R,False,0,23.3,28093.0,17883.0,1671844.0,1.0696572168216651,04
26,AZ,8,Debbie Lesko,R,True,1,59.6,1605245.0,987453.0,1335187.0,73.95615745210222,04
27,AZ,8,Michael Muscato,D,False,0,40.4,357906.0,347734.0,1335187.0,26.043842547897782,04
28,AZ,9,Greg Stanton,D,True,1,61.6,2001619.0,1001350.0,1131285.0,88.51438850510702,04
29,AZ,9,Dave Giles,R,False,0,38.4,130480.0,129935.0,1131285.0,11.485611494892977,04
30,AR,1,Rick Crawford,R,True,1,100.0,966801.0,1095518.0,1095518.0,100.0,05
31,AR,2,French Hill,R,True,1,55.4,3384490.0,3020491.0,6499224.0,46.47464066479321,05
32,AR,2,Joyce Elliott,D,False,0,44.6,3482463.0,3478733.0,6499224.0,53.52535933520679,05
33,AR,3,Steve Womack,R,True,1,64.3,1127158.0,923120.0,1278414.0,72.20822049821106,05
34,AR,3,Celeste Williams,D,False,0,31.8,355294.0,355294.0,1278414.0,27.791779501788938,05
35,AR,4,Bruce Westerman,R,True,1,69.7,1407770.0,1102573.0,1214256.0,90.80235139871658,05
36,AR,4,William Hanson,D,False,0,27.5,109767.0,111683.0,1214256.0,9.19764860128342,05
37,CA,1,Doug LaMalfa,R,True,1,56.9,1219556.0,1155945.0,3613606.0,31.988683879758888,06
38,CA,1,Audrey Denney,D,False,0,43.1,2461769.0,2457661.0,3613606.0,68.01131612024112,06
39,CA,2,Jared Huffman,D,True,1,75.7,899419.0,797753.0,799950.0,99.72535783486468,06
40,CA,2,Dale Mensing,R,False,0,24.3,5921.0,2197.0,799950.0,0.2746421651353209,06
41,CA,3,John Garamendi,D,True,1,54.7,1054066.0,667320.0,1051904.0,63.439249209053294,06
42,CA,3,Tamika Hamilton,R,False,0,45.3,397099.0,384584.0,1051904.0,36.5607507909467,06
43,CA,4,Tom McClintock,R,True,1,55.9,2053363.0,2107248.0,5109780.0,41.23950541901999,06
44,CA,4,Brynne Kennedy,D,False,0,44.1,3006020.0,3002532.0,5109780.0,58.76049458098001,06
45,CA,5,Mike Thompson,D,True,1,76.8,2208136.0,2022751.0,2022751.0,100.0,06
46,CA,6,Doris Matsui,D,True,1,73.4,1019605.0,1073529.0,1118083.0,96.01514377734031,06
47,CA,6,Chris Bish,R,False,0,26.6,44772.0,44554.0,1118083.0,3.984856222659677,06
48,CA,7,Ami Bera,D,True,1,56.6,1757748.0,1053444.0,1083058.0,97.26570506842663,06
49,CA,7,Buzz Patterson,R,False,0,43.4,43876.0,29614.0,1083058.0,2.7342949315733787,06
50,CA,8,Jay Obernolte,R,False,1,56.1,1861647.0,1792064.0,3648677.0,49.115446502937914,06
